Date,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2010-01-04,91.47569274902344,26.796857833862305,42.554588317871094,7.570691108703613,22.743146896362305,19.574119567871094,19.949243545532227,21.016836166381836,26.193763732910156,25.727346420288086
2010-01-05,91.71785736083984,26.883502960205078,42.90190505981445,7.709839820861816,22.823448181152344,19.548877716064453,19.95673179626465,20.766633987426758,25.936880111694336,25.821678161621094
2010-01-06,91.78242492675781,27.340354919433594,43.415653228759766,7.725298881530762,22.871633529663086,19.330175399780273,19.941774368286133,20.888355255126953,26.202051162719727,25.855985641479492
2010-01-07,92.16988372802734,27.127685546875,43.350547790527344,7.8902177810668945,23.120588302612305,19.25446891784668,19.941774368286133,20.79368019104004,26.29319953918457,26.07037353515625
2010-01-08,92.4765625,27.505762100219727,43.63274383544922,7.843833923339844,23.490007400512695,19.380643844604492,19.874452590942383,20.773395538330078,26.334636688232422,26.061798095703125
2010-01-11,92.60575103759766,27.356111526489258,43.574851989746094,7.848989009857178,23.746994018554688,19.30493927001953,19.92680549621582,20.98979377746582,26.483783721923828,26.010337829589844
2010-01-12,91.74207305908203,26.83623695373535,42.945316314697266,7.735607624053955,23.55424690246582,19.094648361206055,20.039012908935547,20.901884078979492,26.29319953918457,25.675901412963867
2010-01-13,92.51692962646484,27.151308059692383,43.10451126098633,7.823221683502197,23.650615692138672,19.279699325561523,20.181133270263672,21.13179588317871,26.6412353515625,25.967470169067383
2010-01-14,92.76714324951172,26.82048225402832,43.22751998901367,7.859292984008789,23.650615692138672,19.330175399780273,20.12129020690918,21.03713035583496,26.881547927856445,25.967470169067383
2010-01-15,91.7259292602539,26.62356948852539,42.880210876464844,7.699531078338623,23.345455169677734,19.06100082397461,20.0240535736084,20.901884078979492,26.69923973083496,25.710195541381836
2010-01-19,92.8720932006836,27.04891586303711,43.27094650268555,7.797449588775635,23.60243797302246,19.389055252075195,20.14373207092285,21.14531707763672,27.3455867767334,26.05322265625
2010-01-20,91.9277114868164,26.568429946899414,42.5980110168457,7.7768354415893555,23.241052627563477,19.07781982421875,19.994131088256836,20.92217254638672,27.113569259643555,25.701622009277344
2010-01-21,90.1600341796875,25.418418884277344,41.729679107666016,7.555231094360352,22.702993392944336,18.875934600830078,19.709888458251953,20.617876052856445,26.52522087097168,25.375734329223633
2010-01-22,88.15021514892578,24.914308547973633,40.73835754394531,7.30785608291626,22.357666015625,18.219825744628906,19.665006637573242,20.16480827331543,26.23519515991211,24.886919021606445
2010-01-25,88.6021957397461,25.134855270385742,41.006103515625,7.349085330963135,22.50221824645996,18.371232986450195,19.702415466308594,20.300050735473633,26.23519515991211,25.01555061340332
2010-01-26,88.23088836669922,24.780399322509766,40.74559783935547,7.220243453979492,22.40584945678711,18.320764541625977,19.679973602294922,20.381193161010742,26.08603286743164,25.04986000061035
2010-01-27,88.65064239501953,24.567726135253906,40.586402893066406,7.395466327667236,22.470096588134766,18.4721736907959,19.7248477935791,20.245948791503906,26.26834487915039,25.092735290527344
2010-01-28,87.63362884521484,24.126625061035156,40.15950393676758,7.3593926429748535,22.21311378479004,17.942232131958008,19.672487258911133,20.090417861938477,26.102611541748047,24.94695281982422
2010-01-29,86.68115234375,23.740657806396484,39.43589782714844,7.30785608291626,21.988248825073242,17.63100242614746,19.59769058227539,19.96869659423828,25.920303344726562,24.79257583618164
2010-02-01,88.02911376953125,24.68587875366211,40.73835754394531,7.431542873382568,22.3175106048584,17.8328857421875,19.74729347229004,20.09718132019043,26.0694637298584,25.10988426208496
2010-02-02,89.09456634521484,24.764646530151367,41.273826599121094,7.503695487976074,22.743146896362305,18.009532928466797,20.031530380249023,20.25947380065918,26.60808563232422,25.46149444580078
2010-02-03,88.65064239501953,24.4810791015625,40.91925048828125,7.421234607696533,22.606616973876953,18.051593780517578,19.889408111572266,20.11747169494629,26.251766204833984,25.4786434173584
2010-02-04,85.91433715820312,23.567373275756836,39.24052429199219,7.101712226867676,21.940067291259766,17.546890258789062,19.485485076904297,19.590015411376953,25.58884048461914,24.741130828857422
2010-02-05,86.09196472167969,24.00847625732422,39.24775695800781,7.184170246124268,21.843698501586914,17.72352409362793,19.433128356933594,19.556211471557617,25.54741096496582,24.672517776489258
2010-02-08,85.47039031982422,23.622509002685547,38.88597106933594,7.039867401123047,21.602771759033203,17.6478271484375,19.41069221496582,19.333057403564453,25.423110961914062,24.518156051635742
2010-02-09,86.54393005371094,24.197511672973633,39.70361328125,7.112016201019287,22.020381927490234,17.799238204956055,19.6425724029541,19.529159545898438,25.62198829650879,24.89549446105957
2010-02-10,86.37443542480469,24.032106399536133,39.53719711303711,7.168707370758057,21.988248825073242,17.748767852783203,19.620126724243164,19.44124984741211,25.464548110961914,24.79257583618164
2010-02-11,87.2784652709961,24.44170570373535,40.21013259887695,7.184170246124268,22.3175106048584,17.93382453918457,19.7772159576416,19.556211471557617,25.638565063476562,25.08416175842285
2010-02-12,87.20579528808594,24.39443588256836,40.224613189697266,7.189321994781494,22.140825271606445,17.967472076416016,19.7772159576416,19.48182487487793,25.580554962158203,25.08416175842285
2010-02-16,88.57798767089844,25.008821487426758,41.172523498535156,7.338776588439941,22.662832260131836,18.236650466918945,19.979169845581055,19.819934844970703,25.804292678833008,25.487220764160156
2010-02-17,88.99769592285156,25.024580001831055,41.11463165283203,7.364544868469238,22.85556983947754,18.287120819091797,20.12129020690918,19.738788604736328,26.003175735473633,25.693035125732422
